Lot Area,Gr Liv Area,Garage Area,SalePrice
31770,1656,528.0,215000
11622,896,730.0,105000
14267,1329,312.0,172000
11160,2110,522.0,244000
13830,1629,482.0,189900
9978,1604,470.0,195500
4920,1338,582.0,213500
5005,1280,506.0,191500
5389,1616,608.0,236500
7500,1804,442.0,189000
10000,1655,440.0,175900
7980,1187,420.0,185000
8402,1465,393.0,180400
10176,1341,506.0,171500
6820,1502,528.0,212000
53504,3279,841.0,538000
12134,1752,492.0,164000
11394,1856,834.0,394432
19138,864,400.0,141000
13175,2073,500.0,210000
11751,1844,546.0,190000
10625,1173,528.0,170000
7500,1674,663.0,216000
11241,1004,480.0,149000
12537,1078,500.0,149900
8450,1056,304.0,142000
8400,882,525.0,126000
10500,864,0.0,115000
5858,1337,511.0,184000
1680,987,264.0,96000
1680,1092,320.0,105500
1680,1092,264.0,88000
4043,1069,440.0,127500
2280,1456,440.0,149900
2280,836,308.0,120000
2280,1456,440.0,146000
12858,2334,751.0,376162
11478,1704,772.0,306000
10159,1940,606.0,395192
12883,1544,868.0,290941
12182,1541,532.0,220000
11520,1698,730.0,275000
14122,1822,678.0,259000
10171,1535,532.0,214000
12919,2364,820.0,611657
6371,1358,484.0,224000
14300,2696,958.0,500000
13650,2250,756.0,320000
7658,1752,576.0,319900
7132,1370,484.0,205000
2628,1626,474.0,175500
18494,1324,430.0,199500
3203,1145,437.0,160000
3182,1269,430.0,192000
13300,1374,400.0,184500
7851,1960,440.0,216500
8577,1733,433.0,185088
7750,1430,400.0,180000
9505,2035,434.0,222500
14774,2599,779.0,333168
17433,2475,962.0,355000
10593,1720,527.0,260400
12256,2622,712.0,325000
11764,2270,671.0,290000
16770,1839,486.0,221000
14720,3238,666.0,410000
8987,1595,880.0,221500
9215,1218,676.0,204500
8640,1547,614.0,215200
9000,1566,750.0,262500
12552,1947,678.0,254900
10440,1468,528.0,271500
10142,2084,618.0,233000
11920,1659,484.0,181000
8880,2110,463.0,205000
8012,923,264.0,143000
11218,1845,462.0,189000
7892,918,264.0,99500
7175,752,264.0,125000
9453,1744,457.0,194500
9672,1097,480.0,152000
8400,1564,476.0,171000
9800,1012,429.0,67500
8930,1902,539.0,112000
11782,1155,576.0,148000
8450,894,336.0,138500
9819,900,280.0,122000
7500,1040,308.0,133000
6897,1040,260.0,127000
15410,1494,461.0,169000
10186,1923,564.0,190000
13143,2349,762.0,362500
11134,2225,713.0,285000
4835,1488,506.0,260000
3515,1680,588.0,190000
3215,1200,480.0,155000
3182,1200,480.0,151000
2544,1200,480.0,149500
2544,1236,480.0,152000
4403,1478,484.0,222000
2117,1573,440.0,177500
2980,1512,440.0,177000
2572,1416,484.0,155000
2403,1080,496.0,147110
12853,1418,852.0,267916
7379,1848,592.0,254000
4420,788,484.0,155000
3880,1226,484.0,206000
13517,1479,475.0,130500
8000,1492,596.0,230000
10456,1829,535.0,218500
10791,2495,660.0,243500
10603,1610,480.0,205000
18837,1891,678.0,212500
10421,1714,496.0,196500
9360,1381,676.0,197500
9600,1645,441.0,171000
9600,1232,490.0,142250
9790,1328,528.0,143000
9320,1225,0.0,128950
9900,1209,504.0,159000
9680,1510,517.0,178900
10600,1775,480.0,136300
14112,1152,484.0,180500
8800,1054,480.0,137500
13260,1728,0.0,84900
9717,1078,240.0,142125
9724,2461,400.0,197600
17360,1556,470.0,172500
7207,858,0.0,116500
5350,1306,0.0,76500
9920,1063,280.0,128000
9600,1520,364.0,153000
7800,1268,244.0,132000
11380,1128,315.0,178000
11600,2274,480.0,154300
19900,2207,576.0,180000
16492,1888,578.0,190000
8267,1604,576.0,135000
8197,1480,620.0,214000
8050,1143,308.0,136000
10552,1700,447.0,165500
8400,1314,294.0,145000
8760,1194,312.0,148000
12160,1188,531.0,142000
9300,1264,461.0,167500
10725,1206,312.0,108538
