Lot Area,Gr Liv Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
31770,1656,528.0,215000,True,False,False,False,False
11622,896,730.0,105000,True,False,False,False,False
14267,1329,312.0,172000,True,False,False,False,False
11160,2110,522.0,244000,True,False,False,False,False
13830,1629,482.0,189900,True,False,False,False,False
9978,1604,470.0,195500,True,False,False,False,False
4920,1338,582.0,213500,False,False,False,False,True
5005,1280,506.0,191500,False,False,False,False,True
5389,1616,608.0,236500,False,False,False,False,True
7500,1804,442.0,189000,True,False,False,False,False
10000,1655,440.0,175900,True,False,False,False,False
7980,1187,420.0,185000,True,False,False,False,False
8402,1465,393.0,180400,True,False,False,False,False
10176,1341,506.0,171500,True,False,False,False,False
6820,1502,528.0,212000,False,False,False,False,True
53504,3279,841.0,538000,True,False,False,False,False
12134,1752,492.0,164000,True,False,False,False,False
11394,1856,834.0,394432,True,False,False,False,False
19138,864,400.0,141000,True,False,False,False,False
13175,2073,500.0,210000,True,False,False,False,False
11751,1844,546.0,190000,True,False,False,False,False
10625,1173,528.0,170000,True,False,False,False,False
7500,1674,663.0,216000,True,False,False,False,False
11241,1004,480.0,149000,True,False,False,False,False
12537,1078,500.0,149900,True,False,False,False,False
8450,1056,304.0,142000,True,False,False,False,False
8400,882,525.0,126000,True,False,False,False,False
10500,864,0.0,115000,True,False,False,False,False
5858,1337,511.0,184000,False,False,False,False,True
1680,987,264.0,96000,False,False,False,True,False
1680,1092,320.0,105500,False,False,False,True,False
1680,1092,264.0,88000,False,False,False,True,False
4043,1069,440.0,127500,False,False,False,False,True
2280,1456,440.0,149900,False,False,False,True,False
2280,836,308.0,120000,False,False,False,True,False
2280,1456,440.0,146000,False,False,False,True,False
12858,2334,751.0,376162,True,False,False,False,False
11478,1704,772.0,306000,True,False,False,False,False
10159,1940,606.0,395192,True,False,False,False,False
12883,1544,868.0,290941,True,False,False,False,False
12182,1541,532.0,220000,True,False,False,False,False
11520,1698,730.0,275000,True,False,False,False,False
14122,1822,678.0,259000,True,False,False,False,False
10171,1535,532.0,214000,True,False,False,False,False
12919,2364,820.0,611657,True,False,False,False,False
6371,1358,484.0,224000,False,False,False,False,True
14300,2696,958.0,500000,True,False,False,False,False
13650,2250,756.0,320000,True,False,False,False,False
7658,1752,576.0,319900,False,False,False,False,True
7132,1370,484.0,205000,False,False,False,False,True
2628,1626,474.0,175500,False,False,False,True,False
18494,1324,430.0,199500,True,False,False,False,False
3203,1145,437.0,160000,False,False,False,False,True
3182,1269,430.0,192000,False,False,False,False,True
13300,1374,400.0,184500,True,False,False,False,False
7851,1960,440.0,216500,True,False,False,False,False
8577,1733,433.0,185088,True,False,False,False,False
7750,1430,400.0,180000,True,False,False,False,False
9505,2035,434.0,222500,True,False,False,False,False
14774,2599,779.0,333168,True,False,False,False,False
17433,2475,962.0,355000,True,False,False,False,False
10593,1720,527.0,260400,True,False,False,False,False
12256,2622,712.0,325000,True,False,False,False,False
11764,2270,671.0,290000,True,False,False,False,False
16770,1839,486.0,221000,True,False,False,False,False
14720,3238,666.0,410000,True,False,False,False,False
8987,1595,880.0,221500,True,False,False,False,False
9215,1218,676.0,204500,True,False,False,False,False
8640,1547,614.0,215200,True,False,False,False,False
9000,1566,750.0,262500,True,False,False,False,False
12552,1947,678.0,254900,True,False,False,False,False
10440,1468,528.0,271500,True,False,False,False,False
10142,2084,618.0,233000,True,False,False,False,False
11920,1659,484.0,181000,True,False,False,False,False
8880,2110,463.0,205000,True,False,False,False,False
8012,923,264.0,143000,False,False,False,False,True
11218,1845,462.0,189000,True,False,False,False,False
7892,918,264.0,99500,False,False,False,False,True
7175,752,264.0,125000,False,False,False,False,True
9453,1744,457.0,194500,True,False,False,False,False
9672,1097,480.0,152000,True,False,False,False,False
8400,1564,476.0,171000,True,False,False,False,False
9800,1012,429.0,67500,True,False,False,False,False
8930,1902,539.0,112000,False,False,True,False,False
11782,1155,576.0,148000,True,False,False,False,False
8450,894,336.0,138500,True,False,False,False,False
9819,900,280.0,122000,True,False,False,False,False
7500,1040,308.0,133000,True,False,False,False,False
6897,1040,260.0,127000,True,False,False,False,False
15410,1494,461.0,169000,True,False,False,False,False
10186,1923,564.0,190000,True,False,False,False,False
13143,2349,762.0,362500,True,False,False,False,False
11134,2225,713.0,285000,True,False,False,False,False
4835,1488,506.0,260000,False,False,False,False,True
3515,1680,588.0,190000,False,False,False,False,True
3215,1200,480.0,155000,False,False,False,False,True
3182,1200,480.0,151000,False,False,False,False,True
2544,1200,480.0,149500,False,False,False,True,False
2544,1236,480.0,152000,False,False,False,True,False
4403,1478,484.0,222000,True,False,False,False,False
2117,1573,440.0,177500,False,False,False,True,False
2980,1512,440.0,177000,False,False,False,False,True
2572,1416,484.0,155000,False,False,False,True,False
2403,1080,496.0,147110,False,False,False,False,True
12853,1418,852.0,267916,True,False,False,False,False
7379,1848,592.0,254000,True,False,False,False,False
4420,788,484.0,155000,False,False,False,False,True
3880,1226,484.0,206000,False,False,False,True,False
13517,1479,475.0,130500,True,False,False,False,False
8000,1492,596.0,230000,True,False,False,False,False
10456,1829,535.0,218500,True,False,False,False,False
10791,2495,660.0,243500,True,False,False,False,False
10603,1610,480.0,205000,True,False,False,False,False
18837,1891,678.0,212500,True,False,False,False,False
10421,1714,496.0,196500,True,False,False,False,False
9360,1381,676.0,197500,True,False,False,False,False
9600,1645,441.0,171000,True,False,False,False,False
9600,1232,490.0,142250,True,False,False,False,False
9790,1328,528.0,143000,True,False,False,False,False
9320,1225,0.0,128950,True,False,False,False,False
9900,1209,504.0,159000,True,False,False,False,False
9680,1510,517.0,178900,True,False,False,False,False
10600,1775,480.0,136300,True,False,False,False,False
14112,1152,484.0,180500,True,False,False,False,False
8800,1054,480.0,137500,True,False,False,False,False
13260,1728,0.0,84900,False,False,True,False,False
9717,1078,240.0,142125,True,False,False,False,False
9724,2461,400.0,197600,True,False,False,False,False
17360,1556,470.0,172500,True,False,False,False,False
7207,858,0.0,116500,True,False,False,False,False
5350,1306,0.0,76500,True,False,False,False,False
9920,1063,280.0,128000,True,False,False,False,False
9600,1520,364.0,153000,True,False,False,False,False
7800,1268,244.0,132000,True,False,False,False,False
11380,1128,315.0,178000,True,False,False,False,False
11600,2274,480.0,154300,False,False,True,False,False
19900,2207,576.0,180000,True,False,False,False,False
16492,1888,578.0,190000,True,False,False,False,False
8267,1604,576.0,135000,False,False,True,False,False
8197,1480,620.0,214000,True,False,False,False,False
8050,1143,308.0,136000,True,False,False,False,False
10552,1700,447.0,165500,True,False,False,False,False
8400,1314,294.0,145000,True,False,False,False,False
8760,1194,312.0,148000,True,False,False,False,False
12160,1188,531.0,142000,True,False,False,False,False
9300,1264,461.0,167500,True,False,False,False,False
10725,1206,312.0,108538,True,False,False,False,False
10032,1580,440.0,159500,True,False,False,False,False
8382,1337,263.0,108000,True,False,False,False,False
10950,1064,318.0,135000,True,False,False,False,False
10895,972,305.0,122500,True,False,False,False,False
13587,988,264.0,119000,False,True,False,False,False
7922,1057,246.0,109000,True,False,False,False,False
7898,985,676.0,105000,True,False,False,False,False
7200,827,392.0,107500,True,False,False,False,False
10200,1086,490.0,144900,True,False,False,False,False
5868,936,308.0,129000,True,False,False,False,False
17503,1458,330.0,97500,True,False,False,False,False
6979,1056,576.0,144000,False,False,True,False,False
9830,1287,576.0,162000,True,False,False,False,False
11275,2978,564.0,242000,True,False,False,False,False
8064,1224,280.0,132000,True,False,False,False,False
7500,1246,305.0,154000,True,False,False,False,False
8520,1385,720.0,166000,True,False,False,False,False
7200,900,576.0,134800,True,False,False,False,False
10000,1116,440.0,160000,True,False,False,False,False
7635,1175,484.0,148000,True,False,False,False,False
9760,1395,440.0,192000,True,False,False,False,False
7700,1839,442.0,155000,True,False,False,False,False
4800,1844,240.0,80400,True,False,False,False,False
8800,1140,0.0,96500,True,False,False,False,False
4485,936,0.0,109500,True,False,False,False,False
8960,1028,360.0,115000,True,False,False,False,False
5805,1347,551.0,143000,True,False,False,False,False
5790,1605,379.0,107400,True,False,False,False,False
4608,747,220.0,80000,True,False,False,False,False
7200,804,240.0,119000,True,False,False,False,False
5500,1316,484.0,130000,True,False,False,False,False
6900,1251,240.0,119000,True,False,False,False,False
11851,1633,240.0,129000,True,False,False,False,False
8239,1245,315.0,100000,True,False,False,False,False
9656,832,780.0,12789,True,False,False,False,False
8520,720,484.0,105900,True,False,False,False,False
9600,1566,288.0,150000,True,False,False,False,False
10800,1652,416.0,139000,True,False,False,False,False
9000,2268,624.0,240000,True,False,False,False,False
9045,2256,0.0,76500,False,True,False,False,False
7407,1236,923.0,149700,True,False,False,False,False
7740,1363,528.0,125500,True,False,False,False,False
11340,2290,560.0,122500,False,True,False,False,False
10560,1470,624.0,140750,True,False,False,False,False
5830,1612,363.0,128500,True,False,False,False,False
7793,2068,315.0,209500,True,False,False,False,False
5000,765,200.0,87000,True,False,False,False,False
6000,1132,240.0,134000,True,False,False,False,False
6000,1196,576.0,128000,True,False,False,False,False
6360,1453,240.0,132000,True,False,False,False,False
6000,1416,312.0,139900,True,False,False,False,False
6240,1040,624.0,123900,True,False,False,False,False
6240,1536,480.0,138400,True,False,False,False,False
6120,1068,288.0,109500,True,False,False,False,False
10300,1710,480.0,140000,True,False,False,False,False
8094,1962,572.0,149500,True,False,False,False,False
12900,1560,0.0,159900,True,False,False,False,False
3068,1324,180.0,122000,True,False,False,False,False
8472,816,516.0,110000,False,False,True,False,False
5600,1092,0.0,55000,False,True,False,False,False
7630,1812,672.0,140000,False,True,False,False,False
24090,2403,349.0,244400,True,False,False,False,False
15263,1675,365.0,173000,True,False,False,False,False
10632,1224,180.0,107500,True,False,False,False,False
9900,1392,0.0,100000,False,True,False,False,False
6001,919,231.0,95000,True,False,False,False,False
6449,1884,0.0,93369,True,False,False,False,False
6048,1680,450.0,114900,False,True,False,False,False
6342,1020,0.0,94000,True,False,False,False,False
10773,1832,0.0,136000,False,False,True,False,False
10778,1768,0.0,136500,False,False,True,False,False
11625,1039,504.0,131500,False,True,False,False,False
11341,1392,528.0,121500,True,False,False,False,False
8521,912,336.0,125000,True,False,False,False,False
8246,1060,270.0,154000,True,False,False,False,False
7800,892,416.0,137900,True,False,False,False,False
9364,1352,299.0,158000,True,False,False,False,False
7832,864,280.0,137250,True,False,False,False,False
7424,1373,591.0,160250,False,False,True,False,False
11227,1440,480.0,163000,True,False,False,False,False
11616,1386,440.0,158900,True,False,False,False,False
14000,2260,533.0,328000,True,False,False,False,False
20062,1483,690.0,270000,True,False,False,False,False
9259,756,440.0,85000,True,False,False,False,False
9600,1067,436.0,128000,True,False,False,False,False
23595,1524,586.0,260000,True,False,False,False,False
17082,1981,522.0,230000,True,False,False,False,False
18600,1610,480.0,124000,True,False,False,False,False
10625,835,366.0,83000,True,False,False,False,False
11479,1074,467.0,144500,True,False,False,False,False
9571,1144,596.0,129000,True,False,False,False,False
9350,1531,209.0,127000,True,False,False,False,False
9525,1172,366.0,128000,True,False,False,False,False
10420,1212,460.0,186000,True,False,False,False,False
17485,1508,572.0,308030,True,False,False,False,False
11200,1298,504.0,114000,True,False,False,False,False
11100,930,308.0,84900,True,False,False,False,False
9206,1732,476.0,178000,True,False,False,False,False
11980,1433,528.0,270000,True,False,False,False,False
12361,1802,1017.0,218000,True,False,False,False,False
9938,1949,574.0,236000,True,False,False,False,False
9069,996,564.0,147000,True,False,False,False,False
10475,1694,776.0,245350,True,False,False,False,False
6762,1208,632.0,206000,True,False,False,False,False
10402,1226,740.0,198900,True,False,False,False,False
7360,1222,615.0,187000,True,False,False,False,False
12376,3222,594.0,320000,True,False,False,False,False
14235,1445,484.0,138500,True,False,False,False,False
8816,1052,440.0,155000,True,False,False,False,False
11105,965,580.0,159000,True,False,False,False,False
9337,1692,513.0,191000,True,False,False,False,False
8750,1682,523.0,200500,True,False,False,False,False
15240,1026,308.0,150000,True,False,False,False,False
10900,1392,299.0,161750,True,False,False,False,False
10650,894,308.0,128200,True,False,False,False,False
7480,876,484.0,127000,True,False,False,False,False
10389,1978,850.0,318000,True,False,False,False,False
11423,1601,670.0,272000,True,False,False,False,False
9548,1829,613.0,237000,True,False,False,False,False
9375,2098,621.0,240000,True,False,False,False,False
12137,1661,598.0,224900,True,False,False,False,False
4435,848,420.0,143750,False,False,False,False,True
4426,848,420.0,143000,False,False,False,False,True
10635,1668,502.0,232000,True,False,False,False,False
