Lot Area,Gr Liv Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
31770,1656,215000,True,False,False,False,False
11622,896,105000,True,False,False,False,False
14267,1329,172000,True,False,False,False,False
11160,2110,244000,True,False,False,False,False
13830,1629,189900,True,False,False,False,False
9978,1604,195500,True,False,False,False,False
4920,1338,213500,False,False,False,False,True
5005,1280,191500,False,False,False,False,True
5389,1616,236500,False,False,False,False,True
7500,1804,189000,True,False,False,False,False
10000,1655,175900,True,False,False,False,False
7980,1187,185000,True,False,False,False,False
8402,1465,180400,True,False,False,False,False
10176,1341,171500,True,False,False,False,False
6820,1502,212000,False,False,False,False,True
53504,3279,538000,True,False,False,False,False
12134,1752,164000,True,False,False,False,False
11394,1856,394432,True,False,False,False,False
19138,864,141000,True,False,False,False,False
13175,2073,210000,True,False,False,False,False
11751,1844,190000,True,False,False,False,False
10625,1173,170000,True,False,False,False,False
7500,1674,216000,True,False,False,False,False
11241,1004,149000,True,False,False,False,False
12537,1078,149900,True,False,False,False,False
8450,1056,142000,True,False,False,False,False
8400,882,126000,True,False,False,False,False
10500,864,115000,True,False,False,False,False
5858,1337,184000,False,False,False,False,True
1680,987,96000,False,False,False,True,False
1680,1092,105500,False,False,False,True,False
1680,1092,88000,False,False,False,True,False
4043,1069,127500,False,False,False,False,True
2280,1456,149900,False,False,False,True,False
2280,836,120000,False,False,False,True,False
2280,1456,146000,False,False,False,True,False
12858,2334,376162,True,False,False,False,False
11478,1704,306000,True,False,False,False,False
10159,1940,395192,True,False,False,False,False
12883,1544,290941,True,False,False,False,False
12182,1541,220000,True,False,False,False,False
11520,1698,275000,True,False,False,False,False
14122,1822,259000,True,False,False,False,False
10171,1535,214000,True,False,False,False,False
12919,2364,611657,True,False,False,False,False
6371,1358,224000,False,False,False,False,True
14300,2696,500000,True,False,False,False,False
13650,2250,320000,True,False,False,False,False
7658,1752,319900,False,False,False,False,True
7132,1370,205000,False,False,False,False,True
2628,1626,175500,False,False,False,True,False
18494,1324,199500,True,False,False,False,False
3203,1145,160000,False,False,False,False,True
3182,1269,192000,False,False,False,False,True
13300,1374,184500,True,False,False,False,False
7851,1960,216500,True,False,False,False,False
8577,1733,185088,True,False,False,False,False
7750,1430,180000,True,False,False,False,False
9505,2035,222500,True,False,False,False,False
14774,2599,333168,True,False,False,False,False
17433,2475,355000,True,False,False,False,False
10593,1720,260400,True,False,False,False,False
12256,2622,325000,True,False,False,False,False
11764,2270,290000,True,False,False,False,False
16770,1839,221000,True,False,False,False,False
14720,3238,410000,True,False,False,False,False
8987,1595,221500,True,False,False,False,False
9215,1218,204500,True,False,False,False,False
8640,1547,215200,True,False,False,False,False
9000,1566,262500,True,False,False,False,False
12552,1947,254900,True,False,False,False,False
10440,1468,271500,True,False,False,False,False
10142,2084,233000,True,False,False,False,False
11920,1659,181000,True,False,False,False,False
8880,2110,205000,True,False,False,False,False
8012,923,143000,False,False,False,False,True
11218,1845,189000,True,False,False,False,False
7892,918,99500,False,False,False,False,True
7175,752,125000,False,False,False,False,True
9453,1744,194500,True,False,False,False,False
9672,1097,152000,True,False,False,False,False
8400,1564,171000,True,False,False,False,False
9800,1012,67500,True,False,False,False,False
8930,1902,112000,False,False,True,False,False
11782,1155,148000,True,False,False,False,False
8450,894,138500,True,False,False,False,False
9819,900,122000,True,False,False,False,False
7500,1040,133000,True,False,False,False,False
6897,1040,127000,True,False,False,False,False
15410,1494,169000,True,False,False,False,False
10186,1923,190000,True,False,False,False,False
13143,2349,362500,True,False,False,False,False
11134,2225,285000,True,False,False,False,False
4835,1488,260000,False,False,False,False,True
3515,1680,190000,False,False,False,False,True
3215,1200,155000,False,False,False,False,True
3182,1200,151000,False,False,False,False,True
2544,1200,149500,False,False,False,True,False
2544,1236,152000,False,False,False,True,False
4403,1478,222000,True,False,False,False,False
2117,1573,177500,False,False,False,True,False
2980,1512,177000,False,False,False,False,True
2572,1416,155000,False,False,False,True,False
2403,1080,147110,False,False,False,False,True
12853,1418,267916,True,False,False,False,False
7379,1848,254000,True,False,False,False,False
4420,788,155000,False,False,False,False,True
3880,1226,206000,False,False,False,True,False
13517,1479,130500,True,False,False,False,False
8000,1492,230000,True,False,False,False,False
10456,1829,218500,True,False,False,False,False
10791,2495,243500,True,False,False,False,False
10603,1610,205000,True,False,False,False,False
18837,1891,212500,True,False,False,False,False
10421,1714,196500,True,False,False,False,False
9360,1381,197500,True,False,False,False,False
9600,1645,171000,True,False,False,False,False
9600,1232,142250,True,False,False,False,False
9790,1328,143000,True,False,False,False,False
9320,1225,128950,True,False,False,False,False
9900,1209,159000,True,False,False,False,False
9680,1510,178900,True,False,False,False,False
10600,1775,136300,True,False,False,False,False
14112,1152,180500,True,False,False,False,False
8800,1054,137500,True,False,False,False,False
13260,1728,84900,False,False,True,False,False
9717,1078,142125,True,False,False,False,False
9724,2461,197600,True,False,False,False,False
17360,1556,172500,True,False,False,False,False
7207,858,116500,True,False,False,False,False
5350,1306,76500,True,False,False,False,False
9920,1063,128000,True,False,False,False,False
9600,1520,153000,True,False,False,False,False
7800,1268,132000,True,False,False,False,False
11380,1128,178000,True,False,False,False,False
11600,2274,154300,False,False,True,False,False
19900,2207,180000,True,False,False,False,False
16492,1888,190000,True,False,False,False,False
8267,1604,135000,False,False,True,False,False
8197,1480,214000,True,False,False,False,False
8050,1143,136000,True,False,False,False,False
10552,1700,165500,True,False,False,False,False
8400,1314,145000,True,False,False,False,False
8760,1194,148000,True,False,False,False,False
12160,1188,142000,True,False,False,False,False
9300,1264,167500,True,False,False,False,False
10725,1206,108538,True,False,False,False,False
10032,1580,159500,True,False,False,False,False
8382,1337,108000,True,False,False,False,False
10950,1064,135000,True,False,False,False,False
10895,972,122500,True,False,False,False,False
13587,988,119000,False,True,False,False,False
7922,1057,109000,True,False,False,False,False
7898,985,105000,True,False,False,False,False
7200,827,107500,True,False,False,False,False
10200,1086,144900,True,False,False,False,False
5868,936,129000,True,False,False,False,False
17503,1458,97500,True,False,False,False,False
6979,1056,144000,False,False,True,False,False
9830,1287,162000,True,False,False,False,False
11275,2978,242000,True,False,False,False,False
8064,1224,132000,True,False,False,False,False
7500,1246,154000,True,False,False,False,False
8520,1385,166000,True,False,False,False,False
7200,900,134800,True,False,False,False,False
10000,1116,160000,True,False,False,False,False
7635,1175,148000,True,False,False,False,False
9760,1395,192000,True,False,False,False,False
7700,1839,155000,True,False,False,False,False
4800,1844,80400,True,False,False,False,False
8800,1140,96500,True,False,False,False,False
4485,936,109500,True,False,False,False,False
8960,1028,115000,True,False,False,False,False
5805,1347,143000,True,False,False,False,False
5790,1605,107400,True,False,False,False,False
4608,747,80000,True,False,False,False,False
7200,804,119000,True,False,False,False,False
5500,1316,130000,True,False,False,False,False
6900,1251,119000,True,False,False,False,False
11851,1633,129000,True,False,False,False,False
8239,1245,100000,True,False,False,False,False
9656,832,12789,True,False,False,False,False
8520,720,105900,True,False,False,False,False
9600,1566,150000,True,False,False,False,False
10800,1652,139000,True,False,False,False,False
9000,2268,240000,True,False,False,False,False
9045,2256,76500,False,True,False,False,False
7407,1236,149700,True,False,False,False,False
7740,1363,125500,True,False,False,False,False
11340,2290,122500,False,True,False,False,False
10560,1470,140750,True,False,False,False,False
5830,1612,128500,True,False,False,False,False
7793,2068,209500,True,False,False,False,False
5000,765,87000,True,False,False,False,False
6000,1132,134000,True,False,False,False,False
6000,1196,128000,True,False,False,False,False
6360,1453,132000,True,False,False,False,False
6000,1416,139900,True,False,False,False,False
6240,1040,123900,True,False,False,False,False
6240,1536,138400,True,False,False,False,False
6120,1068,109500,True,False,False,False,False
10300,1710,140000,True,False,False,False,False
8094,1962,149500,True,False,False,False,False
12900,1560,159900,True,False,False,False,False
3068,1324,122000,True,False,False,False,False
8472,816,110000,False,False,True,False,False
5600,1092,55000,False,True,False,False,False
7630,1812,140000,False,True,False,False,False
24090,2403,244400,True,False,False,False,False
15263,1675,173000,True,False,False,False,False
10632,1224,107500,True,False,False,False,False
9900,1392,100000,False,True,False,False,False
6001,919,95000,True,False,False,False,False
6449,1884,93369,True,False,False,False,False
6048,1680,114900,False,True,False,False,False
6342,1020,94000,True,False,False,False,False
10773,1832,136000,False,False,True,False,False
10778,1768,136500,False,False,True,False,False
11625,1039,131500,False,True,False,False,False
11341,1392,121500,True,False,False,False,False
8521,912,125000,True,False,False,False,False
8246,1060,154000,True,False,False,False,False
7800,892,137900,True,False,False,False,False
9364,1352,158000,True,False,False,False,False
7832,864,137250,True,False,False,False,False
7424,1373,160250,False,False,True,False,False
11227,1440,163000,True,False,False,False,False
11616,1386,158900,True,False,False,False,False
14000,2260,328000,True,False,False,False,False
20062,1483,270000,True,False,False,False,False
9259,756,85000,True,False,False,False,False
9600,1067,128000,True,False,False,False,False
23595,1524,260000,True,False,False,False,False
17082,1981,230000,True,False,False,False,False
18600,1610,124000,True,False,False,False,False
10625,835,83000,True,False,False,False,False
11479,1074,144500,True,False,False,False,False
9571,1144,129000,True,False,False,False,False
9350,1531,127000,True,False,False,False,False
9525,1172,128000,True,False,False,False,False
10420,1212,186000,True,False,False,False,False
17485,1508,308030,True,False,False,False,False
11200,1298,114000,True,False,False,False,False
11100,930,84900,True,False,False,False,False
9206,1732,178000,True,False,False,False,False
11980,1433,270000,True,False,False,False,False
12361,1802,218000,True,False,False,False,False
9938,1949,236000,True,False,False,False,False
9069,996,147000,True,False,False,False,False
10475,1694,245350,True,False,False,False,False
6762,1208,206000,True,False,False,False,False
10402,1226,198900,True,False,False,False,False
7360,1222,187000,True,False,False,False,False
12376,3222,320000,True,False,False,False,False
14235,1445,138500,True,False,False,False,False
8816,1052,155000,True,False,False,False,False
11105,965,159000,True,False,False,False,False
9337,1692,191000,True,False,False,False,False
8750,1682,200500,True,False,False,False,False
15240,1026,150000,True,False,False,False,False
10900,1392,161750,True,False,False,False,False
10650,894,128200,True,False,False,False,False
7480,876,127000,True,False,False,False,False
10389,1978,318000,True,False,False,False,False
11423,1601,272000,True,False,False,False,False
9548,1829,237000,True,False,False,False,False
9375,2098,240000,True,False,False,False,False
12137,1661,224900,True,False,False,False,False
4435,848,143750,False,False,False,False,True
4426,848,143000,False,False,False,False,True
10635,1668,232000,True,False,False,False,False
8400,1484,213000,True,False,False,False,False
8773,1414,185500,True,False,False,False,False
8777,640,84900,True,False,False,False,False
8842,992,155891,True,False,False,False,False
9825,1664,100000,False,False,True,False,False
10044,1196,144000,True,False,False,False,False
11792,1120,64000,True,False,False,False,False
6305,1096,125200,True,False,False,False,False
7819,1117,107000,True,False,False,False,False
6410,960,90000,True,False,False,False,False
8546,1121,140000,True,False,False,False,False
8741,1487,113000,True,False,False,False,False
12180,924,80000,False,True,False,False,False
8562,1526,144500,True,False,False,False,False
4853,1296,104000,True,False,False,False,False
6858,1647,128000,True,False,False,False,False
8212,864,58500,True,False,False,False,False
5000,1691,127000,True,False,False,False,False
7890,856,126000,True,False,False,False,False
7200,2650,160000,False,False,True,False,False
9839,1666,100000,True,False,False,False,False
9638,2447,169000,True,False,False,False,False
10452,2133,257500,True,False,False,False,False
15600,2177,215000,False,False,True,False,False
9042,2340,266500,True,False,False,False,False
17500,1902,335000,True,False,False,False,False
19645,1652,203135,True,False,False,False,False
3907,1034,185000,False,False,False,False,True
3907,1191,162500,False,False,False,False,True
15602,1801,289000,True,False,False,False,False
5436,1154,125500,True,False,False,False,False
8154,540,82000,True,False,False,False,False
9140,1107,110000,True,False,False,False,False
7500,1128,68400,True,False,False,False,False
8712,1178,102776,True,False,False,False,False
8712,1044,55993,True,False,False,False,False
8712,952,50138,True,False,False,False,False
3811,1646,246000,False,False,False,False,True
11050,1916,254900,True,False,False,False,False
9620,1285,190000,True,False,False,False,False
9196,1560,201000,True,False,False,False,False
12328,1034,169900,True,False,False,False,False
12760,2048,170000,False,False,True,False,False
57200,1687,160000,True,False,False,False,False
11896,1346,220000,True,False,False,False,False
9803,1214,179781,True,False,False,False,False
9802,1444,174000,True,False,False,False,False
12003,1968,269500,True,False,False,False,False
11316,1894,214900,True,False,False,False,False
14191,1908,202900,True,False,False,False,False
13214,2018,378500,True,False,False,False,False
15300,1264,169000,True,False,False,False,False
10114,1430,173500,True,False,False,False,False
9400,1824,139000,False,False,True,False,False
11875,1344,166500,True,False,False,False,False
1974,1092,83500,False,False,False,False,True
2394,945,119500,False,False,False,True,False
2592,1112,85000,False,False,False,False,True
1476,1092,76000,False,False,False,True,False
1491,630,75500,False,False,False,False,True
1900,1092,88250,False,False,False,False,True
1890,1092,85500,False,False,False,False,True
6953,874,130000,True,False,False,False,False
26142,1188,157900,True,False,False,False,False
12887,833,149900,True,False,False,False,False
7700,2432,159000,False,False,True,False,False
10475,1274,136000,True,False,False,False,False
10544,1479,161000,True,False,False,False,False
9892,1803,285000,True,False,False,False,False
12961,1797,231000,True,False,False,False,False
13008,882,124500,True,False,False,False,False
10200,1434,157000,True,False,False,False,False
13860,2704,345000,True,False,False,False,False
10179,1608,189500,True,False,False,False,False
11792,2283,270000,True,False,False,False,False
8400,1628,189000,True,False,False,False,False
14892,1746,377500,True,False,False,False,False
8530,1474,168500,True,False,False,False,False
7296,2522,375000,False,False,False,False,True
5664,1659,278000,False,False,False,False,True
7380,1478,240000,True,False,False,False,False
8013,1734,239500,False,False,False,False,True
8923,1382,177500,True,False,False,False,False
10141,1718,185000,True,False,False,False,False
7500,1636,191000,True,False,False,False,False
7837,1571,178000,True,False,False,False,False
9765,1470,185000,True,False,False,False,False
8803,1516,181316,True,False,False,False,False
7250,1190,166000,True,False,False,False,False
9636,1593,178000,True,False,False,False,False
8125,1481,174000,True,False,False,False,False
9248,1167,173000,True,False,False,False,False
10762,1983,225000,True,False,False,False,False
11851,1442,180500,True,False,False,False,False
5814,1360,187500,False,False,False,False,True
17423,2234,501837,True,False,False,False,False
11844,2046,372500,True,False,False,False,False
16158,1530,260000,True,False,False,False,False
11900,1934,185000,True,False,False,False,False
13005,2353,260000,True,False,False,False,False
17043,1586,181000,True,False,False,False,False
11900,1411,82500,True,False,False,False,False
16635,1602,215000,True,False,False,False,False
13250,2050,154000,True,False,False,False,False
10928,1671,200000,True,False,False,False,False
12388,2673,249000,True,False,False,False,False
14115,1472,187500,True,False,False,False,False
