Lot Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
31770,528.0,215000,True,False,False,False,False
11622,730.0,105000,True,False,False,False,False
14267,312.0,172000,True,False,False,False,False
11160,522.0,244000,True,False,False,False,False
13830,482.0,189900,True,False,False,False,False
9978,470.0,195500,True,False,False,False,False
4920,582.0,213500,False,False,False,False,True
5005,506.0,191500,False,False,False,False,True
5389,608.0,236500,False,False,False,False,True
7500,442.0,189000,True,False,False,False,False
10000,440.0,175900,True,False,False,False,False
7980,420.0,185000,True,False,False,False,False
8402,393.0,180400,True,False,False,False,False
10176,506.0,171500,True,False,False,False,False
6820,528.0,212000,False,False,False,False,True
53504,841.0,538000,True,False,False,False,False
12134,492.0,164000,True,False,False,False,False
11394,834.0,394432,True,False,False,False,False
19138,400.0,141000,True,False,False,False,False
13175,500.0,210000,True,False,False,False,False
11751,546.0,190000,True,False,False,False,False
10625,528.0,170000,True,False,False,False,False
7500,663.0,216000,True,False,False,False,False
11241,480.0,149000,True,False,False,False,False
12537,500.0,149900,True,False,False,False,False
8450,304.0,142000,True,False,False,False,False
8400,525.0,126000,True,False,False,False,False
10500,0.0,115000,True,False,False,False,False
5858,511.0,184000,False,False,False,False,True
1680,264.0,96000,False,False,False,True,False
1680,320.0,105500,False,False,False,True,False
1680,264.0,88000,False,False,False,True,False
4043,440.0,127500,False,False,False,False,True
2280,440.0,149900,False,False,False,True,False
2280,308.0,120000,False,False,False,True,False
2280,440.0,146000,False,False,False,True,False
12858,751.0,376162,True,False,False,False,False
11478,772.0,306000,True,False,False,False,False
10159,606.0,395192,True,False,False,False,False
12883,868.0,290941,True,False,False,False,False
12182,532.0,220000,True,False,False,False,False
11520,730.0,275000,True,False,False,False,False
14122,678.0,259000,True,False,False,False,False
10171,532.0,214000,True,False,False,False,False
12919,820.0,611657,True,False,False,False,False
6371,484.0,224000,False,False,False,False,True
14300,958.0,500000,True,False,False,False,False
13650,756.0,320000,True,False,False,False,False
7658,576.0,319900,False,False,False,False,True
7132,484.0,205000,False,False,False,False,True
2628,474.0,175500,False,False,False,True,False
18494,430.0,199500,True,False,False,False,False
3203,437.0,160000,False,False,False,False,True
3182,430.0,192000,False,False,False,False,True
13300,400.0,184500,True,False,False,False,False
7851,440.0,216500,True,False,False,False,False
8577,433.0,185088,True,False,False,False,False
7750,400.0,180000,True,False,False,False,False
9505,434.0,222500,True,False,False,False,False
14774,779.0,333168,True,False,False,False,False
17433,962.0,355000,True,False,False,False,False
10593,527.0,260400,True,False,False,False,False
12256,712.0,325000,True,False,False,False,False
11764,671.0,290000,True,False,False,False,False
16770,486.0,221000,True,False,False,False,False
14720,666.0,410000,True,False,False,False,False
8987,880.0,221500,True,False,False,False,False
9215,676.0,204500,True,False,False,False,False
8640,614.0,215200,True,False,False,False,False
9000,750.0,262500,True,False,False,False,False
12552,678.0,254900,True,False,False,False,False
10440,528.0,271500,True,False,False,False,False
10142,618.0,233000,True,False,False,False,False
11920,484.0,181000,True,False,False,False,False
8880,463.0,205000,True,False,False,False,False
8012,264.0,143000,False,False,False,False,True
11218,462.0,189000,True,False,False,False,False
7892,264.0,99500,False,False,False,False,True
7175,264.0,125000,False,False,False,False,True
9453,457.0,194500,True,False,False,False,False
9672,480.0,152000,True,False,False,False,False
8400,476.0,171000,True,False,False,False,False
9800,429.0,67500,True,False,False,False,False
8930,539.0,112000,False,False,True,False,False
11782,576.0,148000,True,False,False,False,False
8450,336.0,138500,True,False,False,False,False
9819,280.0,122000,True,False,False,False,False
7500,308.0,133000,True,False,False,False,False
6897,260.0,127000,True,False,False,False,False
15410,461.0,169000,True,False,False,False,False
10186,564.0,190000,True,False,False,False,False
13143,762.0,362500,True,False,False,False,False
11134,713.0,285000,True,False,False,False,False
4835,506.0,260000,False,False,False,False,True
3515,588.0,190000,False,False,False,False,True
3215,480.0,155000,False,False,False,False,True
3182,480.0,151000,False,False,False,False,True
2544,480.0,149500,False,False,False,True,False
2544,480.0,152000,False,False,False,True,False
4403,484.0,222000,True,False,False,False,False
2117,440.0,177500,False,False,False,True,False
2980,440.0,177000,False,False,False,False,True
2572,484.0,155000,False,False,False,True,False
2403,496.0,147110,False,False,False,False,True
12853,852.0,267916,True,False,False,False,False
7379,592.0,254000,True,False,False,False,False
4420,484.0,155000,False,False,False,False,True
3880,484.0,206000,False,False,False,True,False
13517,475.0,130500,True,False,False,False,False
8000,596.0,230000,True,False,False,False,False
10456,535.0,218500,True,False,False,False,False
10791,660.0,243500,True,False,False,False,False
