Gr Liv Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
1656,528.0,215000,True,False,False,False,False
896,730.0,105000,True,False,False,False,False
1329,312.0,172000,True,False,False,False,False
2110,522.0,244000,True,False,False,False,False
1629,482.0,189900,True,False,False,False,False
1604,470.0,195500,True,False,False,False,False
1338,582.0,213500,False,False,False,False,True
1280,506.0,191500,False,False,False,False,True
1616,608.0,236500,False,False,False,False,True
1804,442.0,189000,True,False,False,False,False
1655,440.0,175900,True,False,False,False,False
1187,420.0,185000,True,False,False,False,False
1465,393.0,180400,True,False,False,False,False
1341,506.0,171500,True,False,False,False,False
1502,528.0,212000,False,False,False,False,True
3279,841.0,538000,True,False,False,False,False
1752,492.0,164000,True,False,False,False,False
1856,834.0,394432,True,False,False,False,False
864,400.0,141000,True,False,False,False,False
2073,500.0,210000,True,False,False,False,False
1844,546.0,190000,True,False,False,False,False
1173,528.0,170000,True,False,False,False,False
1674,663.0,216000,True,False,False,False,False
1004,480.0,149000,True,False,False,False,False
1078,500.0,149900,True,False,False,False,False
1056,304.0,142000,True,False,False,False,False
882,525.0,126000,True,False,False,False,False
864,0.0,115000,True,False,False,False,False
1337,511.0,184000,False,False,False,False,True
987,264.0,96000,False,False,False,True,False
1092,320.0,105500,False,False,False,True,False
1092,264.0,88000,False,False,False,True,False
1069,440.0,127500,False,False,False,False,True
1456,440.0,149900,False,False,False,True,False
836,308.0,120000,False,False,False,True,False
1456,440.0,146000,False,False,False,True,False
2334,751.0,376162,True,False,False,False,False
1704,772.0,306000,True,False,False,False,False
1940,606.0,395192,True,False,False,False,False
1544,868.0,290941,True,False,False,False,False
1541,532.0,220000,True,False,False,False,False
1698,730.0,275000,True,False,False,False,False
1822,678.0,259000,True,False,False,False,False
1535,532.0,214000,True,False,False,False,False
2364,820.0,611657,True,False,False,False,False
1358,484.0,224000,False,False,False,False,True
2696,958.0,500000,True,False,False,False,False
2250,756.0,320000,True,False,False,False,False
1752,576.0,319900,False,False,False,False,True
1370,484.0,205000,False,False,False,False,True
1626,474.0,175500,False,False,False,True,False
1324,430.0,199500,True,False,False,False,False
1145,437.0,160000,False,False,False,False,True
1269,430.0,192000,False,False,False,False,True
1374,400.0,184500,True,False,False,False,False
1960,440.0,216500,True,False,False,False,False
1733,433.0,185088,True,False,False,False,False
1430,400.0,180000,True,False,False,False,False
2035,434.0,222500,True,False,False,False,False
2599,779.0,333168,True,False,False,False,False
2475,962.0,355000,True,False,False,False,False
1720,527.0,260400,True,False,False,False,False
2622,712.0,325000,True,False,False,False,False
2270,671.0,290000,True,False,False,False,False
1839,486.0,221000,True,False,False,False,False
3238,666.0,410000,True,False,False,False,False
1595,880.0,221500,True,False,False,False,False
1218,676.0,204500,True,False,False,False,False
1547,614.0,215200,True,False,False,False,False
1566,750.0,262500,True,False,False,False,False
1947,678.0,254900,True,False,False,False,False
1468,528.0,271500,True,False,False,False,False
2084,618.0,233000,True,False,False,False,False
1659,484.0,181000,True,False,False,False,False
2110,463.0,205000,True,False,False,False,False
923,264.0,143000,False,False,False,False,True
1845,462.0,189000,True,False,False,False,False
918,264.0,99500,False,False,False,False,True
752,264.0,125000,False,False,False,False,True
1744,457.0,194500,True,False,False,False,False
1097,480.0,152000,True,False,False,False,False
1564,476.0,171000,True,False,False,False,False
1012,429.0,67500,True,False,False,False,False
1902,539.0,112000,False,False,True,False,False
1155,576.0,148000,True,False,False,False,False
894,336.0,138500,True,False,False,False,False
